label,PC,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b11/b7,b11/b9,b7/b6,b12-b6,b12/b6,0.01*b12/b8,(b12-b2)/b8,b9/b8
1,24.6666667,0.00305,0.0048708,0.0062852,0.0096272,0.011539,0.0182196,0.0184903,0.0153977,0.0145458,0.0147641,0.0148376,0.0073578,0.0080308,0.0067804,0.0037641,0.0027228,0.0024529,0.8024514,1.0200631,1.0148611,-0.0108618,0.403841,0.0047785,0.1615176,0.9446723
1,28.8,0.0034608,0.0032994,0.0040056,0.0067745,0.0083562,0.0159317,0.0089571,0.0067886,0.005715,0.0054488,0.0095034,0.0059914,0.0059434,0.0054187,0.003454,0.0027366,0.002596,1.0609961,1.6628968,0.5622172,-0.0099404,0.3760659,0.0088256,0.3965477,0.841851
1,28.8448764,0.0034652,0.004402,0.0069451,0.0124598,0.0155424,0.0251821,0.0192177,0.0152959,0.0133179,0.0134698,0.0241456,0.0143128,0.0151679,0.013849,0.0091329,0.008,0.0046803,1.2564285,1.8130205,0.7631489,-0.0108692,0.5683737,0.0093573,0.6479371,0.8706826
1,30.85,0.003536,0.0050008,0.0062854,0.0089854,0.0106913,0.0164174,0.0153303,0.0120912,0.0114369,0.0114157,0.0109698,0.0072737,0.0081996,0.0067197,0.0044245,0.0036924,0.0045232,0.7155675,0.9591624,0.9337804,-0.0091438,0.4430452,0.0060157,0.1879754,0.945888
1,31.5333333,0.0026194,0.0023769,0.0040869,0.005625,0.0070768,0.0124147,0.0081229,0.0059796,0.0054049,0.0054182,0.0085083,0.0139434,0.0138655,0.0139382,0.0141894,0.0140926,0.0178608,1.0474407,1.5741924,0.6542972,0.0015287,1.1231375,0.0233183,1.934331,0.9038799
1,35,0.0029303,0.0042377,0.0057665,0.0086828,0.0108732,0.0172496,0.0170565,0.0138962,0.0132998,0.0134155,0.0134763,0.0063865,0.0073163,0.0060511,0.0033065,0.0025905,0.0017305,0.7900962,1.013273,0.9888045,-0.0108631,0.3702425,0.0045959,0.1546332,0.9570811
1,35.2,0.0033752,0.0030108,0.0042605,0.0069375,0.0086713,0.0157985,0.0089206,0.0066146,0.0057045,0.0055665,0.0075044,0.0046193,0.0047253,0.0042131,0.0023092,0.0016828,0.005034,0.8412353,1.3155158,0.5646513,-0.0111792,0.2923865,0.0069835,0.2431646,0.8624148
1,35.28,0.0034471,0.0033835,0.0060567,0.00992,0.012373,0.0199899,0.0176123,0.0135655,0.012976,0.0127069,0.0107395,0.006452,0.0075148,0.0055641,0.0027345,0.0018438,0.0038837,0.6097728,0.8276422,0.8810592,-0.0135379,0.3227631,0.0047562,0.2261954,0.9565422
1,37.9396449,-0.0000944,0.0000461,0.0020046,0.0059118,0.0079202,0.0158127,0.0122882,0.0082338,0.0069269,0.0074963,0.0121627,0.0043085,0.0048705,0.0039381,0.0018105,0.0014289,0.000872,0.9897912,1.7558703,0.7771064,-0.0115042,0.2724712,0.0052327,0.5176699,0.8412708
1,39.4666667,0.0022868,0.002241,0.0038636,0.0056031,0.0067108,0.0116921,0.0075043,0.0053028,0.0047453,0.0045952,0.0052308,0.0037493,0.0041227,0.0032505,0.0016641,0.0011809,0.0030327,0.6970313,1.102306,0.6418279,-0.0079429,0.3206643,0.0070703,0.2844343,0.8948632
1,41.85,0.002175,0.0024509,0.0034243,0.0056429,0.0070581,0.0134623,0.0074438,0.0052108,0.0046089,0.0043625,0.0055979,0.0031091,0.0034481,0.0029194,0.0018582,0.0014994,0.0025863,0.7520235,1.214585,0.552934,-0.0103533,0.230946,0.0059666,0.126309,0.884495
1,43.8,0.0022642,0.0023986,0.0033764,0.0054862,0.0067033,0.0123358,0.0071772,0.0050142,0.0044698,0.0043139,0.0049643,0.001724,0.0016705,0.000959,-0.0012854,-0.0021809,0.000469,0.6916706,1.1106131,0.5818212,-0.0106118,0.1397559,0.0034382,-0.1345277,0.8914312
2,45.2727273,0.0067704,0.007686,0.009394,0.0139184,0.0167586,0.024721,0.0236479,0.0200051,0.0187737,0.0189592,0.0184342,0.0067393,0.0075122,0.0064131,0.0023658,0.0014282,-0.000229,0.7795306,0.9819207,0.9565902,-0.0004732,0.9384461,0.0033688,-0.0473195,0.9384461
2,47.4666667,0.0018268,0.0019338,0.0032185,0.0050038,0.0060244,0.0113311,0.0066527,0.0044151,0.0037986,0.0037264,0.0043613,0.0016482,0.0019099,0.0010621,-0.000883,-0.0015037,0.000652,0.6555751,1.148144,0.5871152,-0.0006468,0.8603589,0.0037331,-0.0646817,0.8603587
2,50.2666667,0.0055178,0.0048413,0.004678,0.0078331,0.0100309,0.0199597,0.0101653,0.0081317,0.0065838,0.0063515,0.0169057,0.0144444,0.014376,0.013618,0.0113562,0.010886,0.0088836,1.6630847,2.5677745,0.5092888,0.0118094,0.8096413,0.017763,1.1809401,0.8096413
2,50.45,0.0043789,0.0037841,0.0045098,0.0075607,0.0094384,0.0203078,0.0099701,0.0079519,0.0064675,0.00632,0.0162546,0.0106386,0.0105421,0.0101924,0.0076416,0.0070568,0.00525,1.6303359,2.5132705,0.4909495,0.0086198,0.8133251,0.0133786,0.8619786,0.8133251
2,51.0666667,0.0021673,0.002013,0.0032813,0.0057525,0.0068725,0.0130705,0.007577,0.0053442,0.0046719,0.0045275,0.0061554,0.0036611,0.0040447,0.0033126,0.0022261,0.0018466,0.0021185,0.812386,1.3175535,0.5796995,0.003084,0.874201,0.0068507,0.3084029,0.874201
2,52.4,0.0106005,0.0094724,0.0109484,0.0170975,0.021545,0.0358822,0.022276,0.0176023,0.0148239,0.0149469,0.0222212,0.0070698,0.0072909,0.0068184,0.0029487,0.0021871,0.000138,0.9975406,1.4990054,0.6208071,-0.0013649,0.8421574,0.0040164,-0.136489,0.8421575
2,53.2853933,0.0064874,0.0058873,0.0052936,0.0086575,0.0114466,0.0264,0.012534,0.0087008,0.0067364,0.006639,0.0186233,0.0053345,0.00603,0.0051216,0.0013827,0.000637,-0.000854,1.4858242,2.7645905,0.4747721,-0.0006353,0.7742218,0.006131,-0.0635331,0.7742217
2,53.7777778,0.0108777,0.0097335,0.0111677,0.0174317,0.0218635,0.0373782,0.0236245,0.0184698,0.0158104,0.0157239,0.0228528,0.0070201,0.007272,0.0067907,0.0028754,0.0020962,0.000362,0.9673354,1.4454245,0.6320384,-0.0014691,0.8560162,0.0038009,-0.1469108,0.8560162
2,53.8181818,0.0117568,0.0103178,0.0119713,0.0182241,0.0229491,0.0376754,0.0240932,0.0189421,0.016293,0.0159864,0.0232629,0.0073586,0.0077265,0.0071,0.0031797,0.0024053,0.000388,0.965536,1.4277826,0.6394939,-0.0015623,0.8601483,0.0038848,-0.1562266,0.8601483
2,54.375,0.0029551,0.0051792,0.0089514,0.0138743,0.0167842,0.0265304,0.0304175,0.0317904,0.03197,0.0326122,0.0314589,0.015524,0.0164969,0.0158159,0.0079924,0.0056235,0.00032,1.0342355,0.9840148,1.1465163,0.0032541,1.0056484,0.0048832,0.3254087,1.0056484
2,57.2,0.0099849,0.008945,0.010249,0.0164961,0.0210811,0.0359729,0.0222148,0.0169154,0.014368,0.0142066,0.0206818,0.0058203,0.0062332,0.0056893,0.0022442,0.0015545,0.000062,0.930991,1.4394386,0.6175435,-0.0018472,0.8494028,0.0034408,-0.1847247,0.8494028
2,57.8333333,0.0029995,0.004288,0.0087406,0.0140886,0.016749,0.0260661,0.03031,0.0310676,0.0314624,0.0318533,0.0311709,0.0156841,0.0165349,0.0160411,0.0081362,0.0059565,0.00217,1.0284036,0.9907345,1.1628124,0.0036682,1.0127081,0.0050484,0.3668163,1.0127081
2,58.2,0.0062699,0.005352,0.007479,0.0129942,0.0171878,0.030125,0.0203956,0.014926,0.0126721,0.0127079,0.0170653,0.0048901,0.0051345,0.0046081,0.00173,0.0010881,0.000268,0.8367151,1.3466906,0.6770337,-0.0003095,0.8489908,0.0032762,-0.0309479,0.8489908
