,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49
21-Jun,33.05591,43.419727,51.457844,37.91119,68.48916,25.80404,45.367207,50.1334,86.721176,49.212185,33.772816,67.169914,90.96785,62.61801,52.953632,34.60902,29.38476,41.333347,23.908855,56.828598,85.73948,136.41393,22.608763,26.636507,29.022217,95.11514,32.07325,146.55084,31.762772,121.08384,24.88236,23.532465,111.24631,71.404945,48.862953,42.673058,50.288555,0,83.0356,51.343952,65.58762,25.624044,18.116743,211.12988,55.061962,28.5312,98.39726,33.62306,42.53902,116.071785
21-Jul,26.052433,30.449268,76.30628,28.492344,54.663387,23.525932,86.60339,80.472374,52.966248,50.68703,51.358887,95.98554,105.845055,55.282677,77.74869,32.926773,66.30747,86.30553,26.835875,64.6236,43.26994,123.39453,24.678148,35.15478,24.201689,67.98087,39.174965,165.44003,36.53941,84.311264,28.058388,25.006575,74.166405,69.39384,36.636566,71.19401,87.12686,0,87.55287,24.127592,44.18003,34.8029,35.64719,233.15642,24.56897,37.19708,102.938255,63.735428,59.80859,95.14945
21-Aug,21.461792,24.174137,34.7691,25.77034,63.824535,16.87814,52.213276,60.59838,34.272346,31.133196,41.47815,41.357155,37.628044,25.112635,46.85924,28.53605,98.96377,57.1229,35.57469,47.800034,20.70279,82.29886,31.453808,31.705969,27.562202,39.13121,32.553135,90.87564,31.112803,122.18032,27.066149,21.573277,99.567825,43.106373,25.74328,77.280266,67.13384,0,101.689964,28.027885,32.305183,21.237717,30.594105,237.78839,26.92006,23.019247,51.979187,48.30819,33.648067,29.364006
21-Sep,19.66896,23.254677,28.913963,61.159187,49.089134,13.471965,40.994453,53.170166,42.44845,34.676178,39.552692,41.448715,55.46336,32.695236,48.53604,26.245586,88.1635,40.862637,43.180626,50.27598,25.802288,84.04769,37.982254,32.16037,18.736593,43.22507,31.681389,106.09099,21.752653,127.22762,21.200193,12.722797,88.19421,48.72024,15.618699,61.942764,99.723785,0,51.537144,33.107525,37.46522,19.016758,20.726572,231.2241,30.308348,21.183832,69.312546,52.158348,43.171257,19.30636
21-Oct,25.363697,38.287216,37.03459,57.16123,45.084663,24.679258,37.399857,59.382397,49.728363,26.143057,32.219044,32.3262,40.158096,34.478577,52.2741,29.760557,62.640747,59.213844,17.369898,62.7928,44.024933,49.529335,24.163986,36.172626,23.687737,35.293396,28.644712,156.33447,19.29033,125.057304,23.408577,27.377007,80.53762,54.21495,48.429848,43.507305,64.32467,0,48.02012,37.92514,35.188835,22.786299,31.632376,247.25812,46.91618,32.109787,76.01863,31.57491,50.10213,56.491512
21-Nov,25.20765,66.761604,69.288704,39.943954,33.35222,57.721043,34.952526,41.127075,70.33502,71.76048,19.308762,47.794353,60.28622,71.29331,40.68414,45.31482,40.91971,53.01405,78.10743,67.829025,61.900925,55.13732,30.92975,22.889133,63.780846,91.97626,26.887062,96.27226,55.515316,143.35156,40.21171,87.44332,83.29907,49.377663,58.893776,41.91448,91.470695,0,58.24265,105.977554,79.72327,47.73548,56.754063,232.81693,49.00943,32.737858,57.92689,24.327803,30.63634,99.89829
22-May,58.723545,45.20545,42.39776,43.705345,62.978313,35.789276,112.26029,42.333145,54.518936,56.9624,49.96468,110.541756,100.042946,75.62573,43.008053,29.186632,39.29875,78.819275,41.14958,101.27354,59.88747,123.52907,40.25047,33.975113,27.871595,91.808,35.026268,86.31602,42.836067,163.97908,24.188217,29.387428,125.47987,84.27684,67.343124,36.917854,52.181507,38.65677,87.90257,43.308067,79.52288,31.304123,36.467888,306.1492,54.895813,48.88362,124.75903,33.04358,82.23114,113.0882
22-Jun,65.35062,53.09461,29.945517,36.035637,45.62254,22.05848,73.59439,48.172695,104.9108,62.444714,36.613396,105.981575,59.02495,71.82154,53.181896,38.51155,24.633234,39.57735,37.62968,50.701157,56.513905,106.27943,47.624237,19.306423,19.561056,116.901695,35.971592,108.193085,26.14174,89.41131,38.00037,38.79551,138.16914,60.895622,49.932167,59.50602,65.9669,0,102.79895,25.781918,47.41458,30.35233,21.596607,216.8953,49.84419,20.007421,92.97764,40.838566,50.113064,116.454475
22-Jul,30.753893,50.942642,34.76583,28.252472,39.582954,24.00266,112.189285,60.05958,58.244835,63.281044,53.83314,98.2551,70.99519,43.602184,56.99105,27.28883,73.5346,55.04154,69.30669,50.66032,37.385365,131.6962,59.844585,27.405853,37.362267,186.23428,35.70299,128.39236,21.51372,97.74603,40.863876,66.72764,102.50308,33.070675,36.873898,56.855385,72.21826,0,76.46538,35.36763,47.300617,28.439217,33.36845,167.57162,38.982533,28.466888,51.589268,67.53482,41.41048,87.87815
22-Aug,38.193077,25.862717,31.701813,31.353542,35.728355,18.948996,62.086025,73.23829,44.39854,22.434351,46.19689,96.58046,73.93827,15.771828,66.7796,31.012913,50.21498,60.475548,21.67047,82.1451,27.160322,70.45722,36.523605,39.165146,35.537888,100.03764,37.97557,91.32318,25.196455,99.87798,34.816113,33.798275,114.59744,24.347015,39.412083,63.21731,94.20643,0,70.8422,24.164629,31.172972,21.97143,30.054184,228.80804,35.116417,27.220379,75.31159,57.738647,62.65961,40.137848
22-Sep,46.95188,25.287916,29.411276,25.443138,39.260727,27.149166,39.74077,71.48797,36.457478,15.833963,46.472332,59.653778,40.422974,25.305645,49.49014,32.614357,35.634724,45.665974,12.868257,48.26008,19.374292,88.60106,35.983826,42.835922,19.79405,20.86718,29.125414,108.21541,26.192863,123.64244,33.297413,11.625329,83.88656,34.643036,17.77414,42.840534,81.69596,0,54.683018,17.14253,28.107418,24.742653,24.838293,204.86987,30.370865,30.509659,76.037254,32.97863,66.98222,29.460762
22-Oct,48.903492,34.456455,28.589586,32.02201,44.66879,33.603283,35.95586,45.88395,66.99449,20.020891,46.79084,45.622734,47.916843,43.823986,77.89646,33.877357,30.39011,41.396534,15.363201,78.34922,46.28774,63.759766,27.478714,31.386454,47.65231,39.414993,24.963106,48.884212,25.158443,115.07236,25.799486,27.639866,85.10716,40.040577,16.698776,35.031197,52.586395,0,50.784916,38.637848,41.753006,21.774542,21.549444,262.6897,27.35168,39.304157,88.76941,27.197102,75.50973,56.689777
22-Nov,33.639816,59.414925,40.298996,35.678593,44.57549,35.45874,33.04393,50.956547,58.408688,55.86619,67.496796,45.440796,41.565334,67.02929,71.65931,44.12104,44.942783,45.263557,53.77047,54.549652,81.260284,48.18973,24.169474,42.540985,55.72463,78.3269,33.458588,64.38128,34.38018,74.375,59.809223,63.6597,81.97183,57.689915,51.856094,35.2791,79.52033,0,55.18824,104.9321,52.317253,56.782257,43.89175,140.2662,37.02137,42.643227,66.84482,27.27583,69.34282,96.095345
